probID,clust,geneName
8091715,2,LXN
7919815,2,CTSK
8138602,2,DFNA5
8077270,2,CHL1
8140668,2,SEMA3A
8127380,2,LGSN
7909422,2,MIR205
8154823,2,ANKRD18B
8013384,2,ALDH3A1
8063187,2,EYA2
8015016,2,TNS4
8092978,2,MUC4
8020762,2,DSG3
8135774,2,PTPRZ1
8058708,2,ABCA12
8015387,2,KRT17
8005449,2,KRT17P2
7920285,2,S100A2
8021584,2,SERPINB5
7963410,2,KRT6A
7915184,2,RHBDL2
7951217,2,MMP7
7951309,2,MMP13
7955297,2,AQP5
8049349,2,UGT1A1
7944164,2,TMPRSS4
7963427,2,KRT5
8015337,2,KRT15
8091515,2,GPR87
7952290,2,TRIM29
8084766,2,TP63
7936144,2,COL17A1
8043522,2,PROM2
8009951,2,ITGB4
8064904,2,FERMT1
7951297,2,MMP12
7951271,2,MMP1
8096301,2,SPP1
7951259,2,MMP10
8061883,2,BPIFA1
8015133,2,KRT23
8021603,2,SERPINB13
7902702,2,CLCA2
8023696,2,SERPINB3
8095697,2,CXCL1
8140840,2,STEAP4
7970864,2,HSPH1
8103722,2,HSP90AA6P
8138381,2,AGR2
8158167,2,LCN2
8126820,2,GPR110
8092726,2,CLDN1
7996819,2,CDH3
8126839,2,TNFRSF21
7964927,2,TSPAN8
8046124,2,DHRS9
8095688,2,CXCL6
7927529,2,MSMB
8127065,2,GSTA2
8006736,2,DUSP14
8033097,2,RFX2
7968637,2,CCNA1
8169221,2,PIH1D3
8169665,2,AKAP14
7920487,2,C1orf189
8018646,2,FOXJ1
8132715,2,C7orf57
8120011,2,SPATS1
8158930,2,C9orf9
8164766,2,AK8
8042843,2,WDR54
8165024,2,C9orf116
8093096,2,TCTEX1D2
8121547,2,FAM229B
8141728,2,IFT22
7902158,2,TCTEX1D1
8107909,2,SLC22A4
8132743,2,ABCA13
7943738,2,MIR34C
7997374,2,DYNLRB2
8151127,2,PPP1R42
7915425,2,ZMYND12
8096061,2,C4orf22
7922804,2,APOBEC4
8103064,2,TTC29
7927915,2,STOX1
7930320,2,CCDC147
7897966,2,C1orf158
7955156,2,CCDC65
7957514,2,PLEKHG7
7985147,2,DNAJA4
7943387,2,C11orf70
8114354,2,NME5
8073766,2,RIBC2
8017365,2,MARCH10
8023843,2,FBXO15
8047492,2,LOC100652824
7993713,2,IQCK
8054486,2,NPHP1
7951672,2,PIH1D2
7975676,2,CCDC176
8056022,2,CCDC148
7922382,2,ANKRD45
8008609,2,ANKFN1
8076612,2,EFCAB6
7961875,2,LMNTD1
8054166,2,TSGA10
8092295,2,CCDC39
7898124,2,FHAD1
7930818,2,ENO4
7960984,2,PZP
7942315,2,LRTOMT
8126184,2,KIF6
7917276,2,LPAR3
7900635,2,FAM183A
8155747,2,C9orf135
7927723,2,C10orf107
7903959,2,PIFO
8128726,2,PPIL6
8131452,2,RSPH10B2
8048870,2,DAW1
8040672,2,DRC1
8157632,2,MORN5
8104492,2,ROPN1L
7900076,2,TEKT2
7953520,2,LRRC23
7959330,2,WDR66
8004889,2,WDR16
8123303,2,PACRG
7932744,2,ARMC4
7926638,2,ARMC3
8121015,2,C6orf165
8107591,2,ZNF474
7900639,2,WDR65
8061272,2,C20orf26
8008040,2,LRRC46
8000034,2,DNAH3
8154892,2,DNAI1
8055361,2,MAP3K19
8085732,2,EFHB
8057463,2,CERKL
8111506,2,CAPSL
7916629,2,C1orf87
8007176,2,TTC25
8023314,2,CCDC11
7921473,2,CCDC19
7959108,2,CCDC60
8043747,2,VWA3B
8011990,2,TEKT1
8083897,2,TMEM212
7976578,2,AK7
8142079,2,EFCAB10
7971126,2,STOML3
8022666,2,CHST9
7996198,2,CCDC113
7917019,2,ERICH3
8121622,2,RSPH4A
7932598,2,ENKUR
8150691,2,EFCAB1
7943740,2,C11orf88
7921862,2,C1orf192
8070603,2,RSPH1
8094988,2,CWH43
8141846,2,FBXL13
8121193,2,KLHL32
8058203,2,ALS2CR12
7907232,2,MROH9
8123893,2,MAK
8044278,2,CCDC138
8048081,2,SPAG16
8056710,2,CCDC173
8095819,2,FAM47E
8041561,2,MORN2
8175755,2,CETN2
7944869,2,SPA17
7975971,2,SAMD15
7922152,2,CCDC181
7942941,2,CCDC81
7945321,2,GLB1L2
7916616,2,CYP2J2
8151310,2,EYA1
8069795,2,CLDN8
7962274,2,KIF21A
8059878,2,IQCA1
7990555,2,NRG4
8021131,2,KATNAL2
8064322,2,C20orf96
7959638,2,TCTN2
8152962,2,LRRC6
7989146,2,MNS1
8093258,2,IQCG
8172225,2,EFHC2
8122827,2,CCDC170
8151999,2,RGS22
7902660,2,WDR63
7909768,2,SPATA17
7916789,2,WDR78
8106950,2,FAM81B
8082643,2,NEK11
7900555,2,CCDC30
7946365,2,STK33
8113483,2,TMEM232
8091922,2,WDR49
8094533,2,DTHD1
8135341,2,CDHR3
8095021,2,SPATA18
7898623,2,UBXN10
8085062,2,IL5RA
7931281,2,FANK1
8133770,2,CCDC146
7983828,2,TEX9
8084165,2,SOX2
8122202,2,MYB
7943376,2,KIAA1377
8089659,2,KIAA1407
8081503,2,DZIP3
8094190,2,CC2D2A
8051135,2,IFT172
7992917,2,CLUAP1
7969166,2,KCNRG
8136495,2,TTC26
7962455,2,NELL2
8046646,2,OSBPL6
7901272,2,CYP4X1
8063761,2,CDH26
8085164,2,SRGAP3
8068383,2,CLIC6
8111019,2,DNAH5
8127072,2,GSTA1
7930593,2,PLEKHS1
8099476,2,PROM1
7901175,2,TSPAN1
8179861,2,SLC44A4
8111864,2,C6
7918294,2,C1orf194
7985398,2,FAM154B
8166690,2,CHDC2
