sampleID	clust
LT116459	2
LT266817	2
LT166493	2
LT091552	2
LT163953	2
LT188524	2
LT144921	2
LT263234	2
LT099826	2
LT033422	2
LT119242	2
NJ020081	2
LT030385	2
LT150445	2
LT101536	2
LT006783	2
LT100434	2
LT008069	2
LT180758	2
LT282601	2
LT168352	2
LT067200	2
LT165736	2
LT012417	2
LT221381	2
LT287196	2
LT182636	2
LT004173	2
LT284489	2
LT072789	2
LT112491	2
LT002902	2
LT188467	2
LT104717	2
LT137431	2
LT098394	2
LT090283	2
LT211455	2
LT235441	2
LT109321	2
LT173946	2
LT231373	2
LT264690	2
LT269763	2
LT196309	2
LT211379	2
LT046539	2
LT080836	2
LT087826	2
LT187987	2
LT134279	2
LT266377	2
LT219681	2
LT142933	2
LT275751	2
NJ004830	1
NJ020080	1
NJ004860	1
NJ004840	1
NJ020051	1
LT056464	1
LT041723	1
LT134776	1
LT242161	1
LT001600	1
LT062141	1
LT069422	1
LT157253	1
LT269381	1
LT047521	1
LT182067	1
LT154952	1
LT262773	1
LT089958	1
LT228897	1
LT000216	1
LT128191	1
LT025724	1
LT134302	1
LT287909	1
LT217339	1
LT063974	1
LT071706	1
LT059846	1
LT168219	1
NJ020083	1
LT207236	1
LT284326	1
LT197286	1
LT009429	1
LT056301	1
LT159457	1
LT019699	1
LT205601	1
LT102695	1
LT174813	1
LT194091	1
LT067836	1
LT195192	1
LT148511	1
LT201348	1
LT156276	1
LT206005	1
LT128262	1
LT130861	1
LT103266	1
LT092669	1
LT175399	1
LT167906	1
LT230142	1
LT074868	1
LT020259	1
LT280851	1
LT295133	1
LT039091	1
LT095103	1
LT275526	1
LT062911	1
LT006946	1
LT026534	1
LT049193	1
LT093665	1
LT185396	1
LT258372	1
LT277811	1
NJ020061	3
NJ020063	3
NJ020053	3
NJ020003	3
NJ020015	3
NJ004851	3
NJ004818	3
NJ020005	3
NJ020006	3
NJ020027	3
LT157856	3
NJ004803	3
NJ004804	3
NJ020032	3
NJ020040	3
NJ020042	3
NJ004819	3
NJ020022	3
NJ020007	3
NJ020045	3
NJ020064	3
NJ020079	3
NJ020016	3
NJ020044	3
NJ020049	3
NJ004863	3
NJ020000	3
NJ020056	3
NJ020001	3
NJ020055	3
NJ020002	3
NJ020036	3
NJ020017	3
NJ020343	3
NJ004824	3
NJ020066	3
NJ004847	3
NJ020028	3
NJ004827	3
NJ020026	3
NJ020077	3
NJ020025	3
NJ004808	3
NJ020011	3
