sampleID	clust
NJ020061	4
NJ004840	4
NJ020051	4
NJ020000	4
NJ020055	4
NJ004818	4
NJ020032	4
NJ020006	4
NJ020045	4
NJ020028	4
NJ020003	4
NJ020080	4
NJ020016	4
NJ020049	4
NJ020064	4
NJ020015	4
NJ020025	4
LT284326	4
NJ020053	4
NJ004863	4
NJ020026	4
NJ004851	4
NJ004847	4
NJ020011	4
NJ020012	4
NJ004803	4
NJ004804	4
NJ020343	4
NJ020002	4
NJ020063	4
NJ004827	4
NJ020044	4
LT197286	4
NJ020007	4
NJ020083	4
NJ020079	4
NJ020005	4
NJ020027	4
NJ020066	4
LT080836	1
LT165736	1
LT099826	1
LT275751	1
NJ020081	1
LT219681	1
LT187987	1
LT101536	1
LT030385	1
LT221381	1
LT154952	1
NJ004824	1
NJ020065	1
LT201348	1
LT242161	1
LT089958	1
NJ004819	1
NJ020036	1
NJ020042	1
LT001600	1
LT006783	1
LT095103	1
LT063974	1
LT006946	1
LT062911	1
LT182067	1
LT280851	1
NJ004808	1
NJ004860	1
LT047521	1
LT093665	1
LT231373	1
LT207236	1
LT228897	1
NJ020001	1
LT100434	1
LT000216	1
LT025724	1
LT159457	1
LT128262	1
LT205601	1
LT168219	1
LT100821	1
LT287909	1
LT175399	1
LT264690	1
LT091552	1
LT168352	1
LT284489	1
LT144921	1
LT150445	1
LT157253	1
LT056464	1
LT258372	1
NJ020022	1
NJ020040	1
NJ020056	1
LT134776	1
NJ004830	1
LT092669	1
LT128191	1
LT188524	3
LT263234	3
LT039091	2
LT185396	2
LT134302	2
LT269381	2
LT109321	2
LT295133	2
LT062796	2
LT206005	2
LT217339	2
LT090283	2
LT298606	2
LT019699	2
LT069422	2
LT056301	2
LT098394	2
LT119242	2
LT182636	2
LT067836	2
LT074868	2
LT196309	2
LT104717	2
LT008069	2
LT116459	2
LT195192	2
LT156276	2
LT071706	2
LT230142	2
LT103266	2
LT282601	2
LT137431	2
LT033422	2
LT180758	2
LT009429	2
LT188467	2
LT269763	2
LT194091	2
LT266377	2
LT002902	2
LT059846	2
LT072789	2
LT004173	2
LT211379	2
LT211455	2
LT235441	2
LT067200	2
LT173946	2
LT087826	2
LT244824	2
LT046539	2
LT266817	2
LT167906	2
LT198096	2
LT134279	2
LT163953	2
