
Generated at: 2022/03/05 19:08:00
mirDIP version: 5.0.2.3.
Database version: 5.0.2.2



Gene Symbol     - 
Micro RNA       - hsa-miR-126-5p,hsa-miR-126-3p,hsa-miR-138,hsa-miR-146b-5p,hsa-miR-205-5p,hsa-miR-205-3p,hsa-miR-30a-5p,hsa-miR-30a-3p,hsa-miR-30d-5p,hsa-miR-30d-3p,hsa-miR-31-5p,hsa-miR-31-3p,hsa-miR-34c-3p,hsa-miR-34c-5p,hsa-miR-652-5p,hsa-miR-652-3p
Minimum Score   - Very High


MicroRNAs input verification: (1)
Provided Gene Symbol	Suggestion	Updated Symbol at Database
hsa-miR-138	not in database for selected minimum score or unknow microRNA	

Note: Suggested mircoRNAs may NOT be found in database.


Results (2506) 
Gene Symbol	Uniprot	Pseudogene	MicroRNA	Integrated Score	Number of Sources	Score Class	Sources
MET	P08581		hsa-miR-34c-5p	0.900426394649047	14	Very High	Cupid|MBStar|MirTar2|MultiMiTar|PACCMIT|bitargeting_May_2021|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
RSBN1	Q5VWQ0		hsa-miR-31-5p	0.896711727658198	16	Very High	Cupid|MBStar|MirTar2|MultiMiTar|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|mirbase|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
TRAF6	Q9Y4K3		hsa-miR-146b-5p	0.895730444569262	16	Very High	Cupid|MBStar|MirTar2|MultiMiTar|PACCMIT|bitargeting_May_2021|MirAncesTar|mirCoX|miranda_May_2021|mirbase|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|PITA_May_2021|TargetScan_v7_2
KLHL28	Q9NXS3		hsa-miR-30d-5p	0.880670645047139	13	Very High	Cupid|MBStar|MirTar2|MultiMiTar|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|TargetScan_v7_2
KLHL28	Q9NXS3		hsa-miR-30a-5p	0.880440325454846	13	Very High	Cupid|MBStar|MirTar2|MultiMiTar|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|TargetScan_v7_2
SYT1	P21579		hsa-miR-34c-5p	0.879766667692417	15	Very High	Cupid|MBStar|MirTar2|MultiMiTar|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|PITA_May_2021|RNA22|TargetScan_v7_2
MKRN3	Q13064		hsa-miR-30a-5p	0.876508249364541	11	Very High	Cupid|MirTar2|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|mirzag|TargetScan_v7_2
SATB2	Q9UPW6		hsa-miR-34c-5p	0.874527373599758	14	Very High	Cupid|MBStar|MirTar2|MultiMiTar|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
ZNRF1	Q8ND25		hsa-miR-30d-5p	0.873639920883618	13	Very High	Cupid|MirTar2|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|TargetScan_v7_2
PPARGC1B	Q86YN6		hsa-miR-30a-5p	0.873534719455608	15	Very High	Cupid|MBStar|MirTar2|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
PIP4K2A	P48426		hsa-miR-30d-5p	0.87276243057107	11	Very High	Cupid|MBStar|MirTar2|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|TargetScan_v7_2
RARG	P13631		hsa-miR-30d-5p	0.871667013681882	12	Very High	Cupid|MBStar|MirTar2|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
RFX6	Q8HWS3		hsa-miR-30d-5p	0.87100318971889	11	Very High	Cupid|MBStar|MirTar2|PACCMIT|bitargeting_May_2021|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|mirzag|TargetScan_v7_2
RARG	P13631		hsa-miR-30a-5p	0.870488846319811	12	Very High	Cupid|MBStar|MirTar2|PACCMIT|miRTar2GO|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|RNA22|TargetScan_v7_2
PPARGC1B	Q86YN6		hsa-miR-30d-5p	0.870407598543971	14	Very High	Cupid|MBStar|MirTar2|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|TargetScan_v7_2
ZNRF1	Q8ND25		hsa-miR-30a-5p	0.870020408971762	13	Very High	Cupid|MirTar2|PACCMIT|bitargeting_May_2021|miRTar2GO|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|mirmap_May_2021|MiRNATIP|mirzag|TargetScan_v7_2
